learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.10000,0.000, 5, 1024,20, 85.49,  8.95, 26.31, 13.36, 85.44,  9.07, 26.20, 13.47,1.09, 1.12,
0.10000,0.000, 5, 2056,10, 87.43,  0.57, 33.11,  1.13, 87.43,  0.54, 32.39,  1.06,1.09, 1.11,
0.10000,0.000, 5, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.09, 1.10,
0.10000,0.000, 5, 2056,20, 63.66, 39.01, 14.52, 21.16, 63.82, 38.68, 14.50, 21.09,1.09, 1.12,
0.10000,0.000,10,  512,10, 87.50,  0.02,100.00,  0.05, 87.50,  0.04,100.00,  0.07,2.23, 2.27,
0.10000,0.000,10,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.20, 2.23,
0.10000,0.000,10,  512,20, 12.68, 99.80, 12.50, 22.22, 12.69, 99.73, 12.50, 22.21,2.14, 2.19,
0.10000,0.000,10, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.64, 2.67,
0.10000,0.000,10, 1024,15, 87.58,  1.45, 63.27,  2.84, 87.58,  1.43, 64.21,  2.79,2.27, 3.47,
0.10000,0.000,10, 1024,20, 87.42,  0.16, 16.67,  0.32, 87.41,  0.14, 13.64,  0.28,2.21, 4.46,
0.10000,0.000,10, 2056,10, 85.88, 23.13, 39.07, 29.06, 85.76, 22.39, 38.15, 28.22,2.11, 2.44,
0.10000,0.000,10, 2056,15, 12.78, 99.93, 12.53, 22.27, 12.76, 99.88, 12.52, 22.25,2.08, 2.10,
0.10000,0.000,10, 2056,20, 71.83, 28.64, 15.68, 20.27, 71.89, 28.68, 15.74, 20.32,2.09, 2.13,
0.10000,0.000,20,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.20, 4.59,
0.10000,0.000,20,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.19, 4.24,
0.10000,0.000,20,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.48, 4.55,
0.10000,0.000,20, 1024,10, 22.21, 97.47, 13.59, 23.85, 21.94, 97.33, 13.54, 23.77,4.21, 4.26,
0.10000,0.000,20, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.16, 4.25,
0.10000,0.000,20, 1024,20, 88.23,  8.60, 75.46, 15.44, 88.19,  8.25, 75.24, 14.86,4.28, 4.35,
0.10000,0.000,20, 2056,10, 63.48, 59.28, 19.08, 28.86, 63.34, 59.32, 19.02, 28.80,4.11, 4.18,
0.10000,0.000,20, 2056,15, 17.36, 99.52, 13.09, 23.14, 17.27, 99.50, 13.08, 23.12,4.05, 4.10,
0.10000,0.000,20, 2056,20, 82.59, 25.69, 28.34, 26.95, 82.62, 25.17, 28.17, 26.59,4.12, 4.16,
0.10000,0.000,50,  512,10, 87.95,  3.60, 99.68,  6.95, 87.99,  3.97,100.00,  7.63,10.68, 10.81,
0.10000,0.000,50,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,10.25, 10.37,
0.10000,0.000,50,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.01,100.00,  0.02,10.55, 10.68,
